flipkart_author,flipkart_isbn10,flipkart_title,flipkart_ratings count,flipkart_price,flipkart_stars,amazon_title,amazon_author,amazon_rating,amazon_reviews count,amazon_isbn-10,amazon_price
  Hill Napoleon,8180320928, The Law of Success,5,421,3,The Law of Success: In Sixteen Lessons (General Press),by Napoleon Hill,4.4,150,8180320928,371
  Hill Napoleon,8180320928, The Law of Success,5,421,3,The Law of Success: In Sixteen Lessons (General Press),by Napoleon Hill,4.4,150,8180320928,371
  Sheela Ma Anand,8172344449, Don't Kill Him! - The story of my life with Bhagwan Rajneesh,46,188,3.6,Don'T Kill Him!: The Story Of My Life With Bhagwan Rajneesh,by Ma Anand Sheela,3.6,32,8172344449,189
  C. L. Khanna,9350132389, Madhya Pradesh General Knowledge: At a Glance,15,80,3.6,Madhya Pradesh General Knowledge - At A Glance,by C.L. Khanna,3.3,9,9350132389,85
  Nazia Erum,8193876717, Mothering A Muslim,3,162,3.7,Mothering A Muslim,by Nazia Erum,,,8193876717,162
  Shashank Johari,8173158762, Super Speed Computer Course,70,195,3.8,Super Speed Computer Course,by Shashank Johari,3.9,12,8173158762,250
  Sunder Gopal Mishra' and  ' Athar Imam Raza,9312146440, UGC NET Economics,91,351,3.8,UGC NET Economics,by Sunder Gopal Mishra,4.2,14,9312146440,469
  Mishra P. K.,8174827986, Objective Civil Engineering,169,123,3.8,Objective Civil Engineering,by P.K. Mishra,3.5,37,8174827986,103
  Fiona Johnson' and  ' Judy Tatchell' and  ' Paul Dowswell,1409522423, FIRST ENCYCLOPEDIA OF ANIMALS,6,449,3.8,First Encyclopedia of Animals (Usborne First Encyclopedias),by Paul Dowswell,5,2,1409522423,455
  Shashank Johari,8173158762, Super Speed Computer Course,70,195,3.8,Super Speed Computer Course,by Shashank Johari,3.9,12,8173158762,250
  Dr. Biswaroop Roy Chowdhury,9351656233, Diabities Type 1 & 2,35,143,3.8,Diabetes Type 1 & 2: 72 Ghanton Mai Rogmukt,by Biswaroop Roy Choudhray,3.4,74,9351656233,143
  Fadia Ankit,9385152459, Stretch Your Technology Email,17,81,3.9,Stretch Your Technology Email,by Ankit Fadia,4.1,14,9385152459,77
  Jindal D. Prashant,9352774531, One minute superdad,15,176,3.9,One-Minute Super Dad: 99 Magic Moments to Raise Amazing Children,by Dr Prashant Jindal,4.6,44,9352774531,157
  RPH Editorial Board,9350128268, University of Delhi : MA History Entrance Exam Guide,86,199,3.9,University of Delhi (DU) MA History Entrance Exam Guide,by RPH Editorial Board,4,8,9350128268,182
  Baskaran Theodore S.,9384067571, The Book of Indian Dogs,53,240,3.9,The Book of Indian Dogs,by S. Theodore Baskaran - Import,3.6,57,9384067571,394
  Koirala Shiv Prasad,8183331033, SQL Server Interview Questions,142,290,3.9,SQL Server Interview Questions,by Shiv Prasad Koirala,3.3,18,8183331033,282
  Prasad B.,9351380424, A Background to the Study of English Literature,57,216,3.9,A Background to the study of English Literature: Revised Edition,by Brijadish Prasad,3.8,18,9351380424,175
